BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 08:47:10:911 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;821,95;1,31;11;9965;48
7;4;1;10000;832,8;1,43;12;9886;49
2;4;1;10000;846,54;1,33;12;9800;49
3;4;1;10000;832,27;1,34;11;10400;39
6;4;1;10000;813,95;1,49;12;9611;52
4;4;1;10000;820,63;1,58;11;10162;42
1;4;1;10000;802,93;1,17;12;9506;40
8;4;1;10000;821,76;1,33;12;9133;48
10;4;1;10000;827,03;1,46;12;10320;80
12;4;1;10000;845,39;1,4;12;10510;60
11;4;1;10000;825,77;1,36;12;9944;46
13;4;1;10000;802,4;1,41;12;9649;48
9;4;1;10000;830,52;1,38;11;9924;49
14;4;1;10000;814,42;1,4;11;10532;45
15;4;1;10000;835,7;1,58;11;9939;45
16;4;1;10000;810,44;1,57;12;10017;42
18;4;1;10000;840,6;1,24;12;10781;62
17;4;1;10000;828,75;1,21;12;9546;44
19;4;1;10000;817,44;1,18;12;9199;40
20;4;1;10000;818,52;1,24;11;10033;55
21;4;1;10000;821,47;1,21;12;9753;49
22;4;1;10000;807,64;1,61;12;10014;47
23;4;1;10000;831,02;1,33;11;9829;41
24;4;1;10000;835,45;1,35;12;9413;50
25;4;1;10000;817,64;1,4;12;10327;56
27;4;1;10000;820,5;1,5;12;9977;66
26;4;1;10000;827,71;1,23;12;10227;71
28;4;1;10000;831,24;1,18;12;10551;36
29;4;1;10000;840,61;1,2;12;9150;46
30;4;1;10000;848,85;1,33;12;10694;56
;;;;825,7313333;1,358333333;11,73333333;9959,733333;
;;;;12,2599088;0,129483945;0,449776445;442,6028759;
;;;;;;;;
;;;;802,4;1,17;11;9133;
;;;;848,85;1,61;12;10781;
