"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap20k;;;;;;;;
04/17/2019 09:33:20:312 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;20000;812,29;2,86;25;15895;30
4;4;1;20000;823,39;3,06;24;16678;29
2;4;1;20000;831,23;2,77;24;16095;31
8;4;1;20000;813,11;3,05;24;16450;26
3;4;1;20000;824,55;2,53;24;15929;24
6;4;1;20000;824,29;2,9;24;16338;20
7;4;1;20000;827,84;3,11;24;16676;29
1;4;1;20000;814,4;2,68;24;16652;33
10;4;1;20000;809,56;3,04;24;16692;37
13;4;1;20000;832,43;3,09;23;16272;25
9;4;1;20000;815,56;2,8;24;16881;30
11;4;1;20000;812,9;2,82;24;16747;21
14;4;1;20000;818,4;3,15;23;16821;31
12;4;1;20000;823,02;2,67;24;16123;28
15;4;1;20000;826,9;2,78;24;16890;37
17;4;1;20000;817,6;2,94;23;16973;33
18;4;1;20000;829,11;2,75;24;16157;25
19;4;1;20000;815,73;2,6;24;16452;30
23;4;1;20000;826,29;2,85;24;16231;35
21;4;1;20000;825,71;2,93;24;16576;30
20;4;1;20000;836,19;2,85;24;17145;29
22;4;1;20000;814,3;2,83;24;16776;33
16;4;1;20000;824,88;2,95;24;16490;24
26;4;1;20000;827,91;2,91;24;15804;34
25;4;1;20000;814,89;2,73;25;16331;27
28;4;1;20000;828,2;2,99;23;16259;21
24;4;1;20000;817,06;2,76;24;16457;38
27;4;1;20000;827,69;3,27;23;16395;30
30;4;1;20000;821,91;2,81;25;16491;31
29;4;1;20000;806,27;2,76;24;16569;27
;;;;821,4536667;2,874666667;23,93333333;16474,83333;
;;;;7,472723034;0,168905877;0,52083046;329,4080462;
