"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap10k;;;;;;;;
04/17/2019 09:27:24:031 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;813,64;2,11;10;6837;2
5;4;1;10000;789,53;1,92;11;7045;9
8;4;1;10000;796,73;2,1;11;6754;13
6;4;1;10000;785,6;2,04;11;6921;11
7;4;1;10000;791,07;1,96;11;7050;12
4;4;1;10000;796,45;1,9;11;7080;14
2;4;1;10000;791,67;2,09;10;6924;13
1;4;1;10000;810,71;2,27;10;6958;16
9;4;1;10000;790,45;1,92;11;7246;13
13;4;1;10000;782,94;2,14;11;6294;8
11;4;1;10000;788,08;1,93;11;7345;17
10;4;1;10000;793,06;1,97;11;6770;9
15;4;1;10000;789,35;1,96;11;6900;15
14;4;1;10000;788,82;2,2;10;6531;8
12;4;1;10000;789,14;2,05;10;6558;13
17;4;1;10000;789,92;2,33;10;6797;9
18;4;1;10000;791,67;2,04;11;7323;9
19;4;1;10000;789,4;2,03;10;6944;26
21;4;1;10000;788,6;1,94;11;7020;9
22;4;1;10000;807,86;2,1;11;6952;9
23;4;1;10000;816,73;2,19;10;7296;12
20;4;1;10000;784,47;1,81;11;6724;10
16;4;1;10000;796,6;2,01;11;7059;5
24;4;1;10000;800,06;2,12;11;6911;11
25;4;1;10000;795,24;2;11;6821;12
26;4;1;10000;805,24;1,99;11;6199;10
27;4;1;10000;805,96;2,06;11;7365;12
29;4;1;10000;786,14;1,9;11;6695;9
30;4;1;10000;796,88;2,08;10;6370;7
28;4;1;10000;777,21;1,78;11;6877;8
;;;;794,3073333;2,031333333;10,7;6885,533333;
;;;;9,398106902;0,12447776;0,4660916;294,3963705;
