BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS.nlogo;;;;;;;;
c_cfs20k;;;;;;;;
05/08/2019 11:02:49:184 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;20000;804,94;0,94;29;17979;125
3;4;1;20000;814,23;0,86;30;17823;146
4;4;1;20000;825,84;0,79;30;17687;141
2;4;1;20000;826,27;0,82;30;17910;149
8;4;1;20000;815,05;0,79;30;17707;148
1;4;1;20000;821,47;0,7;30;17648;166
7;4;1;20000;812,59;0,8;30;17954;134
6;4;1;20000;826,31;0,82;30;18135;122
10;4;1;20000;831,37;0,7;30;17686;171
9;4;1;20000;815,03;1,04;29;17951;147
11;4;1;20000;804,2;0,78;30;17090;111
12;4;1;20000;839,9;0,79;30;18542;171
17;4;1;20000;831,73;0,83;30;17587;142
18;4;1;20000;812,81;0,94;29;17732;128
13;4;1;20000;832,13;0,76;30;18463;211
19;4;1;20000;807;0,79;29;18034;152
15;4;1;20000;821,22;1,06;29;18276;134
14;4;1;20000;816,21;0,87;29;17953;135
20;4;1;20000;819,87;0,81;30;17439;133
16;4;1;20000;818,6;0,86;30;17382;122
21;4;1;20000;809,66;0,91;29;17451;142
22;4;1;20000;796,67;0,82;30;16925;139
24;4;1;20000;812,57;0,76;30;17160;94
27;4;1;20000;813,07;0,97;30;17600;147
23;4;1;20000;814,06;0,77;30;17656;142
25;4;1;20000;817,36;0,83;30;17279;151
26;4;1;20000;828,18;0,85;30;18183;168
29;4;1;20000;797,58;0,83;30;17465;105
30;4;1;20000;803,43;0,73;30;16783;119
28;4;1;20000;811,64;1,01;28;17420;135
;;;;816,6996667;0,841;29,7;17696,66667;
;;;;10,4415128;0,092376665;0,534983081;421,8765413;
