"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix;nlogo";;;;;;;;
multi10k;;;;;;;;
03/28/2019 13:19:12:990 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;10000;857,81;1,19;13;7610;210
3;4;1;10000;821,81;1,07;13;7313;210
2;4;1;10000;849,98;1,01;13;7422;190
1;4;1;10000;861,06;1;13;7956;235
5;4;1;10000;860,11;1,16;12;7886;213
7;4;1;10000;844,64;0,96;13;8184;207
6;4;1;10000;855,09;1,17;13;8591;289
8;4;1;10000;837,31;1,12;13;8657;224
9;4;1;10000;861,27;0,99;13;7021;185
11;4;1;10000;839,56;1,21;12;8233;290
10;4;1;10000;847,16;1,24;13;7770;190
12;4;1;10000;880,39;1,01;13;7303;209
13;4;1;10000;880,73;0,98;13;7530;182
15;4;1;10000;824,59;1,12;13;8187;227
14;4;1;10000;840,48;0,93;13;7879;226
16;4;1;10000;860,76;1,19;12;7409;232
17;4;1;10000;844,52;1,21;12;8398;244
19;4;1;10000;837,27;1,05;13;7466;248
18;4;1;10000;861,98;1,05;13;8147;292
20;4;1;10000;834,04;1,34;12;7455;253
21;4;1;10000;842;1,29;12;8125;265
23;4;1;10000;850,76;1,12;13;7804;206
22;4;1;10000;858,27;1,24;12;9027;301
24;4;1;10000;831,73;1,29;13;7824;262
25;4;1;10000;869,08;1,15;13;7471;240
26;4;1;10000;849,54;1,08;13;8465;221
27;4;1;10000;861,9;0,94;13;8321;213
28;4;1;10000;855,91;0,92;14;7574;217
29;4;1;10000;870,56;1,34;12;8789;257
30;4;1;10000;846,3;1,1;13;7978;174
;;;;851,2203333;1,115666667;12,76666667;7926,5;
;;;;14,67995032;0,122802991;0,504006933;494,8897996;
