BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_ws.nlogo;;;;;;;;
cfs_ws15k;;;;;;;;
05/12/2019 15:42:53:625 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
1;4;1;15000;918,08;1,18;21;13588;435
2;4;1;15000;922,83;1,7;20;13754;474
4;4;1;15000;947,58;1,21;21;15002;527
3;4;1;15000;908,71;1,37;21;13676;389
5;4;1;15000;950,48;1,15;21;13956;524
6;4;1;15000;932,45;1,26;20;14202;421
7;4;1;15000;941,62;1,14;21;14608;493
8;4;1;15000;902,88;1,7;20;13793;472
9;4;1;15000;923,53;1,32;20;14548;478
10;4;1;15000;914,77;1,32;20;12652;443
11;4;1;15000;951,88;1,12;20;13823;540
12;4;1;15000;925,64;1,11;21;13466;427
13;4;1;15000;893,65;0,99;21;14001;337
14;4;1;15000;898,48;1,14;20;13702;402
17;4;1;15000;907,76;1,12;21;12606;361
15;4;1;15000;965,93;1,38;21;13440;521
16;4;1;15000;927,45;1,1;21;13618;422
18;4;1;15000;917,94;1,3;19;14489;489
19;4;1;15000;915,83;1,23;20;12770;327
21;4;1;15000;922,29;1,21;21;13944;425
20;4;1;15000;938,84;1,02;21;14237;528
22;4;1;15000;899,91;1,35;21;12943;392
23;4;1;15000;905,47;1,25;21;13522;413
24;4;1;15000;943,26;1,19;20;13436;430
25;4;1;15000;945,62;1,11;20;13752;509
26;4;1;15000;932,56;1,26;21;13861;473
27;4;1;15000;915,44;1,39;20;14094;438
28;4;1;15000;917,49;1,05;21;13446;443
29;4;1;15000;941,31;1,1;21;13679;442
30;4;1;15000;928,28;1,26;21;13526;434
;;;;925,2653333;1,234333333;20,56666667;13737,8;
;;;;17,97931392;0,165668621;0,568320777;552,6405204;
;;;;;;;;
;;;;893,65;0,99;19;12606;
;;;;965,93;1,7;21;15002;
