BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_wsts_es_time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 11:28:49:773 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
6;4;1;10000;845,93;1,84;11;10212;57
3;4;1;10000;831,59;1,48;11;9935;57
2;4;1;10000;829,3;1,54;11;10136;52
5;4;1;10000;817,77;1,49;10;10370;43
8;4;1;10000;867,77;1,72;11;10616;71
4;4;1;10000;859,73;1,53;12;9547;61
1;4;1;10000;857,24;1,42;10;10130;34
7;4;1;10000;837,22;1,62;11;9824;51
12;4;1;10000;818,52;1,65;12;9785;51
9;4;1;10000;829,48;1,38;11;9848;61
10;4;1;10000;860,12;1,73;10;11152;72
11;4;1;10000;857,25;1,57;11;9972;55
14;4;1;10000;850,21;1,58;11;9163;59
13;4;1;10000;852;1,58;11;10903;52
16;4;1;10000;857,34;1,88;11;10459;73
15;4;1;10000;851,94;1,85;11;10699;54
17;4;1;10000;839,41;1,66;11;9361;55
18;4;1;10000;863,92;1,54;12;10119;70
20;4;1;10000;867,79;1,68;11;9420;50
19;4;1;10000;827,05;1,26;12;9244;63
22;4;1;10000;853,54;1,63;10;10087;54
21;4;1;10000;837,52;1,94;10;9408;43
23;4;1;10000;890,03;2,21;10;9988;80
24;4;1;10000;839,98;1,94;11;8762;62
25;4;1;10000;862,02;1,93;11;9843;76
26;4;1;10000;814,14;1,65;11;8072;40
28;4;1;10000;842,26;1,51;11;9250;56
27;4;1;10000;839,26;1,58;11;9872;68
29;4;1;10000;851,1;1,63;11;10149;46
30;4;1;10000;862,91;1,88;11;9564;64
;;;;847,1446667;1,663333333;10,93333333;9863;
;;;;17,24750711;0,200212531;0,583292281;633,5658799;
;;;;;;;;
;;;;814,14;1,26;10;8072;
;;;;890,03;2,21;12;11152;
