BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_wsts_es_time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 11:26:37:283 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;797,25;1,2;12;9809;60
7;4;1;10000;803,62;1,29;11;10133;51
5;4;1;10000;796,97;1,49;12;9388;34
3;4;1;10000;821,65;1,52;11;9925;70
4;4;1;10000;819,5;1,36;12;9725;53
6;4;1;10000;804,65;1,68;12;10568;58
8;4;1;10000;810,86;1,34;12;10301;56
1;4;1;10000;827,56;1,41;11;10050;76
9;4;1;10000;822,92;1,31;12;10531;70
10;4;1;10000;816,16;1,22;12;10312;56
11;4;1;10000;802,34;1,19;12;10038;50
13;4;1;10000;793;1,38;12;9488;46
12;4;1;10000;816,64;1,8;11;10351;65
14;4;1;10000;800,04;1,33;12;10709;34
15;4;1;10000;796,11;1,29;12;9900;62
16;4;1;10000;793,25;1,3;13;9723;46
18;4;1;10000;794,05;1,23;11;10034;54
19;4;1;10000;825,22;1,72;11;10047;65
17;4;1;10000;807,5;1,24;12;10371;48
20;4;1;10000;805,14;1,75;12;10351;67
21;4;1;10000;803,91;1,45;12;9996;53
22;4;1;10000;806,24;1,18;12;9834;52
23;4;1;10000;819,93;1,32;12;10681;65
24;4;1;10000;781,83;1,36;12;9831;37
25;4;1;10000;801,08;1,43;12;9919;63
27;4;1;10000;807,88;1,34;12;10661;58
28;4;1;10000;811,52;1,32;12;10650;50
26;4;1;10000;802,98;1,41;12;9965;45
29;4;1;10000;806,66;1,29;12;10905;58
30;4;1;10000;794,09;1,36;12;9949;38
;;;;806,3516667;1,383666667;11,83333333;10138,16667;
;;;;11,08897342;0,164557575;0,461133037;379,7197772;
;;;;;;;;
;;;;781,83;1,18;11;9388;
;;;;827,56;1,8;13;10905;
