BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS_ES_Time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 10:51:33:745 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;738,89;0,76;14;8882;28
2;4;1;10000;746,44;0,75;13;8648;22
4;4;1;10000;747,84;0,82;14;9039;23
5;4;1;10000;737,91;0,92;14;8751;24
6;4;1;10000;749;0,82;13;9083;24
1;4;1;10000;737,42;0,93;14;8760;24
7;4;1;10000;751,38;0,87;13;8959;25
8;4;1;10000;740,97;0,8;14;8899;21
10;4;1;10000;741,58;0,82;13;8536;24
9;4;1;10000;744,22;0,84;13;8857;22
11;4;1;10000;739,57;0,88;13;9019;26
14;4;1;10000;746,81;0,84;13;8829;18
13;4;1;10000;738,31;0,98;13;8984;28
15;4;1;10000;737,35;0,85;13;9001;20
16;4;1;10000;739,66;0,79;14;8973;21
12;4;1;10000;738,68;0,87;13;9139;22
17;4;1;10000;736,29;0,83;13;9086;27
18;4;1;10000;737;0,82;13;8830;23
19;4;1;10000;749,77;0,88;13;9126;26
20;4;1;10000;740,57;0,95;13;8876;23
23;4;1;10000;744,03;0,87;13;8889;27
21;4;1;10000;744,74;0,88;13;8792;25
22;4;1;10000;742,95;0,82;13;9030;17
24;4;1;10000;741,29;0,89;14;8847;14
25;4;1;10000;736,77;0,78;14;9037;12
26;4;1;10000;743,22;0,86;14;9144;17
27;4;1;10000;746,21;0,79;13;9123;17
28;4;1;10000;745,88;0,84;13;8967;14
30;4;1;10000;742,59;0,88;13;8929;28
29;4;1;10000;751,75;0,78;14;9108;20
;;;;742,6363333;0,847;13,33333333;8938,1;
;;;;4,560184875;0,054844608;0,479463301;149,8155993;
;;;;;;;;
;;;;736,29;0,75;13;8536;
;;;;751,75;0,98;14;9144;
