BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
global.nlogo;;;;;;;;
global15k;;;;;;;;
10/31/2018 20:16:27:128 -0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;15000;873,73;1,26;19;13676;599
5;4;1;15000;866,47;1,22;21;13099;557
4;4;1;15000;886,98;1,17;21;12808;601
1;4;1;15000;883,89;1,25;21;14010;599
2;4;1;15000;871,81;1,29;21;13760;539
7;4;1;15000;858,28;1,24;20;13224;491
8;4;1;15000;864,28;1,36;21;13037;498
6;4;1;15000;865,97;1,01;21;13098;535
11;4;1;15000;869,51;1,12;20;13643;571
9;4;1;15000;869,96;1,26;21;13535;598
15;4;1;15000;863,59;1,29;20;12774;520
10;4;1;15000;873,28;0,98;21;13219;534
12;4;1;15000;872,48;1;22;13554;507
14;4;1;15000;863,97;1,1;21;13687;497
13;4;1;15000;868,49;1,11;21;14053;520
16;4;1;15000;880,58;1,1;20;13478;597
19;4;1;15000;875,75;1,1;20;13012;554
17;4;1;15000;867,19;1,44;20;13431;494
18;4;1;15000;870,89;1,17;21;13319;496
20;4;1;15000;861,19;1,15;20;13551;558
21;4;1;15000;915,49;1,28;19;13370;604
22;4;1;15000;866,34;1,15;21;12940;547
24;4;1;15000;872,04;1,45;20;13035;618
23;4;1;15000;860,85;1,28;21;13176;504
25;4;1;15000;871,27;1,01;20;13953;590
28;4;1;15000;869,16;0,95;21;13168;521
26;4;1;15000;865,35;1,3;20;13289;627
27;4;1;15000;874,95;1,08;21;13530;599
29;4;1;15000;859,01;1,32;20;12984;526
30;4;1;15000;880,24;1,09;21;12905;538
;;;;871,433;1,184333333;20,53333333;13343,93333;
;;;;10,84133092;0,131874636;0,681445387;352,4680405;
