"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix_EVAP;nlogo";;;;;;;;
multi_evap10k;;;;;;;;
04/26/2019 13:29:35:044 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;793,94;1,28;12;14148;47
5;4;1;10000;801,98;1,69;11;14754;64
2;4;1;10000;803,31;1,42;12;13774;36
8;4;1;10000;792,7;1,22;12;13380;45
4;4;1;10000;806,33;1,08;13;14623;58
6;4;1;10000;833,87;1,17;13;12588;41
7;4;1;10000;821,54;1,11;13;13112;47
1;4;1;10000;803,43;1,17;12;15152;53
10;4;1;10000;800,92;1,05;13;14811;59
9;4;1;10000;811,04;1,17;13;14780;67
11;4;1;10000;798,54;1,04;12;14112;43
12;4;1;10000;833,83;1,04;13;15189;76
14;4;1;10000;836,98;1,2;13;14337;71
13;4;1;10000;809,96;1,04;13;13506;48
15;4;1;10000;816,83;1,27;12;14832;72
16;4;1;10000;808,82;1,38;12;15043;71
17;4;1;10000;818;0,98;13;14533;47
19;4;1;10000;790,97;1,26;13;13705;37
18;4;1;10000;817,04;1,39;12;12347;47
20;4;1;10000;803,84;1,03;13;12284;45
21;4;1;10000;820,84;1,21;12;14161;59
23;4;1;10000;800,01;1,14;12;12831;50
22;4;1;10000;819,81;1,31;12;13894;65
26;4;1;10000;805,08;1,8;10;14623;56
25;4;1;10000;809,05;1,26;12;15100;51
27;4;1;10000;810,11;1,45;12;14571;58
24;4;1;10000;817,86;1,32;13;15371;68
28;4;1;10000;794,13;1,13;12;15743;68
29;4;1;10000;815,7;1,27;12;14088;70
30;4;1;10000;792,19;1,49;12;14819;52
;;;;809,62;1,25;12,3;14207,03333;
;;;;12,45;0,19;0,7;910,47;
;;;;;;;;
;;;;790,97;0,98;10;12284;
;;;;836,98;1,8;13;15743;
