"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix_EVAP;nlogo";;;;;;;;
multi_evap20k;;;;;;;;
04/26/2019 14:08:06:026 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
6;4;1;20000;860,13;1,16;29;38403;191
2;4;1;20000;859,72;1,4;28;35053;182
4;4;1;20000;852,31;1,11;28;36332;159
8;4;1;20000;848,79;1,64;27;35235;184
3;4;1;20000;846,28;1,19;27;35979;199
5;4;1;20000;860,12;1,22;29;37683;183
1;4;1;20000;845,08;1,33;28;35925;201
7;4;1;20000;843,7;1,2;27;37246;186
9;4;1;20000;858,21;1,17;28;36951;206
10;4;1;20000;845,97;1,53;28;35683;192
11;4;1;20000;869,93;1,37;26;38275;161
13;4;1;20000;866,35;1,79;28;36349;187
12;4;1;20000;850,72;1,17;28;37568;201
14;4;1;20000;859,5;1,09;28;38384;194
15;4;1;20000;857,23;0,97;27;37334;198
17;4;1;20000;855,27;1,45;27;36523;159
18;4;1;20000;854,06;1,09;29;38440;194
19;4;1;20000;839,84;1,17;28;36672;170
20;4;1;20000;879,78;1,28;28;38672;191
21;4;1;20000;847,75;1,17;29;36836;166
22;4;1;20000;855,55;1,43;28;34323;167
16;4;1;20000;859,97;1,51;27;35782;207
23;4;1;20000;846,95;1,7;28;36342;185
24;4;1;20000;848,11;1,2;29;36903;182
25;4;1;20000;854,79;1,14;29;37506;196
26;4;1;20000;856,78;1,32;28;36815;176
27;4;1;20000;847,62;1,12;29;36320;173
28;4;1;20000;844,09;1,5;27;36246;155
29;4;1;20000;852,11;1,32;28;36158;187
30;4;1;20000;835,23;1,11;27;35767;207
;;;;853,40;1,30;27,90;36723,5;
;;;;9,18;0,20;0,80;1078,98;
