"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix_EVAP;nlogo";;;;;;;;
multi_evap15k;;;;;;;;
04/26/2019 11:32:53:773 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;828,49;1,18;20;24775;94
4;4;1;15000;833,5;1,21;21;25340;88
3;4;1;15000;855,28;1,12;21;23695;91
6;4;1;15000;827,1;1,37;20;22203;88
8;4;1;15000;831,63;1,29;20;24566;119
5;4;1;15000;829,24;1,21;21;23568;94
7;4;1;15000;853,16;1,29;20;25491;126
1;4;1;15000;839,12;1,5;19;25012;89
9;4;1;15000;832,65;1,06;21;25189;102
10;4;1;15000;849,98;1,22;20;26002;99
11;4;1;15000;830,74;1,47;19;25729;86
12;4;1;15000;870,22;1,23;20;22684;94
13;4;1;15000;832,86;1,11;21;25177;99
14;4;1;15000;820,83;1,26;20;26039;100
15;4;1;15000;841,98;1,22;20;24264;97
17;4;1;15000;852,38;1,27;19;25666;123
18;4;1;15000;815,35;1,56;19;24135;96
19;4;1;15000;857,22;1,23;20;24405;83
20;4;1;15000;869,21;1,27;20;25279;103
21;4;1;15000;822,34;1,25;20;24762;92
22;4;1;15000;843,24;1,24;20;23477;89
16;4;1;15000;820,82;1,22;20;24024;103
23;4;1;15000;821,82;1,4;20;24931;76
24;4;1;15000;839,1;1,35;19;24716;93
25;4;1;15000;861,79;1,37;18;23777;88
26;4;1;15000;828,39;1,38;20;25494;100
27;4;1;15000;831,48;1,28;18;25028;114
28;4;1;15000;841,36;1,25;21;26620;108
29;4;1;15000;858,99;1,05;20;24728;103
30;4;1;15000;822,77;1,5;19;24902;110
;;;;838,77;1,28;19,87;24722,6;
;;;;15,24;0,12;0,82;981,52;
