"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap10k;;;;;;;;
04/17/2019 09:39:49:165 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;808,12;2,35;9;6317;11
1;4;1;10000;795,7;2,14;11;6420;8
7;4;1;10000;791,68;2,23;11;6708;17
6;4;1;10000;793,82;2,11;10;6983;13
4;4;1;10000;791,94;1,95;11;6708;12
8;4;1;10000;785,94;1,96;10;6411;14
3;4;1;10000;795,31;1,95;11;6859;17
9;4;1;10000;788,11;2,16;10;6917;8
13;4;1;10000;791,18;2,21;10;6578;12
10;4;1;10000;797,95;2,05;11;6715;8
12;4;1;10000;798,19;1,99;11;6543;6
11;4;1;10000;802,54;2,34;11;6424;9
15;4;1;10000;778,33;1,89;11;6382;10
14;4;1;10000;796,52;1,94;11;6872;19
2;4;1;10000;803,18;2,12;10;6434;12
16;4;1;10000;806,48;2,31;10;6420;17
17;4;1;10000;790,29;1,96;10;7194;13
18;4;1;10000;792,8;2,28;11;6741;3
19;4;1;10000;782,2;2,11;11;6115;6
20;4;1;10000;773,47;2,03;11;6837;10
21;4;1;10000;793,05;1,99;11;6854;8
22;4;1;10000;810,93;2,17;11;6697;10
24;4;1;10000;793,04;2,02;11;6329;4
26;4;1;10000;784;2,09;11;6466;14
28;4;1;10000;791,95;2,1;10;6339;3
25;4;1;10000;810,7;2,17;10;6761;13
27;4;1;10000;791,89;2,12;10;6302;11
23;4;1;10000;799,32;2,19;10;6930;7
30;4;1;10000;786,35;1,85;11;6719;10
29;4;1;10000;798,92;1,89;11;6672;10
;;;;794,13;2,089;10,56666667;6621,566667;
;;;;8,870140146;0,137046431;0,568320777;252,0102192;
