"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap15k;;;;;;;;
04/17/2019 09:42:03:098 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;821,03;2,47;17;11509;18
6;4;1;15000;810,67;2,64;18;10741;18
7;4;1;15000;794,64;2,28;18;11082;14
5;4;1;15000;810,97;2,26;18;11647;25
8;4;1;15000;812,51;2,48;17;11678;14
4;4;1;15000;816,91;2,29;18;11534;19
3;4;1;15000;807,11;2,22;18;10727;21
15;4;1;15000;813,03;2,39;17;10879;21
10;4;1;15000;802,06;2,64;17;11480;16
9;4;1;15000;797,32;2,32;18;11024;21
12;4;1;15000;807,85;2,53;17;11512;19
11;4;1;15000;817,74;2,63;17;10899;6
1;4;1;15000;806,26;2,37;17;11275;18
14;4;1;15000;807,15;2,33;17;11104;18
13;4;1;15000;805,42;2,37;17;11238;21
16;4;1;15000;805,95;2,38;18;11454;17
17;4;1;15000;807,17;2,45;18;11171;20
22;4;1;15000;803,72;2,32;18;10855;12
18;4;1;15000;811,42;2,36;16;11217;18
19;4;1;15000;813,99;2,85;17;11234;19
20;4;1;15000;803,57;2,46;16;11161;26
23;4;1;15000;802,85;2,57;18;11322;21
24;4;1;15000;807,99;2,46;17;11116;23
25;4;1;15000;807,97;2,4;18;11200;13
26;4;1;15000;808,04;2,26;18;11033;23
27;4;1;15000;818,64;2,43;17;10806;15
21;4;1;15000;818,45;2,77;17;11828;20
30;4;1;15000;803,16;2,32;18;11498;27
29;4;1;15000;813,39;2,35;18;11123;22
28;4;1;15000;810,21;2,3;16;11561;30
;;;;808,9063333;2,43;17,36666667;11230,26667;
;;;;6,205534506;0,153892036;0,668675135;292,7090981;
