"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap10k;;;;;;;;
04/17/2019 09:19:51:747 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;798,55;2,01;10;7384;14
7;4;1;10000;795,64;1,96;11;7431;13
6;4;1;10000;777,07;1,95;11;7333;10
8;4;1;10000;800,65;2,18;10;7217;7
4;4;1;10000;798,55;1,96;11;7123;8
3;4;1;10000;800,99;2,15;10;7806;17
2;4;1;10000;792,44;1,9;11;7756;17
9;4;1;10000;791,05;2,12;11;7124;6
13;4;1;10000;786,39;1,91;11;7515;17
12;4;1;10000;794,27;1,9;10;7306;11
10;4;1;10000;781,57;2,05;11;7525;11
11;4;1;10000;783,96;2,08;11;7347;8
1;4;1;10000;794,9;1,9;11;7123;10
14;4;1;10000;780,34;1,93;11;7444;7
15;4;1;10000;787,72;2,07;11;7763;8
18;4;1;10000;804,78;2,04;10;7059;13
16;4;1;10000;782,92;2,03;10;7267;11
17;4;1;10000;787,26;2,05;11;7081;12
20;4;1;10000;775,31;2,03;11;7153;17
22;4;1;10000;788,94;2,02;11;7326;13
19;4;1;10000;776,48;2,11;11;7634;14
23;4;1;10000;792,83;2,13;11;7721;12
26;4;1;10000;788,1;2,02;11;6877;6
24;4;1;10000;783,9;2,06;11;7372;13
27;4;1;10000;773,25;2,06;11;7151;12
25;4;1;10000;791,1;1,94;11;7395;12
21;4;1;10000;827,16;2,2;10;7048;16
29;4;1;10000;787,5;2,16;10;7224;16
28;4;1;10000;786,92;2,11;11;7043;9
30;4;1;10000;788,95;1,99;11;7035;8
;;;;789,983;2,034;10,73333333;7319,433333;
;;;;10,58933007;0,087399203;0,449776445;245,7765572;
