"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap15k;;;;;;;;
04/17/2019 09:23:27:943 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;815,41;2,52;18;12323;18
8;4;1;15000;811,77;2,52;17;12207;21
7;4;1;15000;815,63;2,54;17;12082;17
6;4;1;15000;803,62;2,29;17;12140;23
5;4;1;15000;832,06;2,5;17;12676;23
3;4;1;15000;806,61;2,48;17;11858;24
4;4;1;15000;809,01;2,55;17;11932;29
11;4;1;15000;819,28;2,72;17;12323;23
9;4;1;15000;826,54;2,27;17;12055;22
1;4;1;15000;820,5;2,4;17;12994;26
12;4;1;15000;813,02;2,71;17;11978;15
14;4;1;15000;809,14;2,35;17;12516;26
15;4;1;15000;827,64;2,52;17;12112;19
10;4;1;15000;808,34;2,3;17;12871;29
13;4;1;15000;809,84;2,41;17;12393;17
16;4;1;15000;814,63;2,43;18;12889;18
17;4;1;15000;807,59;2,68;17;12559;19
19;4;1;15000;812,13;2,44;16;12164;12
22;4;1;15000;821,8;2,7;17;11539;20
20;4;1;15000;810,52;2,84;16;12014;23
21;4;1;15000;805,85;2,52;18;12418;23
23;4;1;15000;818,55;2,48;17;11931;13
18;4;1;15000;801,55;2,41;18;12730;24
24;4;1;15000;812,8;2,49;17;12924;20
25;4;1;15000;817,19;2,4;16;12182;19
26;4;1;15000;797,74;2,3;17;12010;18
28;4;1;15000;805,21;2,66;17;12276;15
27;4;1;15000;803,86;2,5;17;11979;28
30;4;1;15000;805,49;2,71;17;11842;17
29;4;1;15000;810,87;2,53;17;13158;23
;;;;812,473;2,505666667;17,03333333;12302,5;
;;;;7,962847416;0,143951221;0,490132518;397,5002711;
