BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone.nlogo;;;;;;;;
nc20k;;;;;;;;
03/26/2019 22:47:04:499 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;20000;761,88;0,72;30;13904;22
3;4;1;20000;753,01;0,84;30;14449;30
1;4;1;20000;758,08;0,74;30;14510;19
2;4;1;20000;754,24;0,62;30;13914;29
7;4;1;20000;755,21;0,72;30;14208;31
5;4;1;20000;756,33;0,72;30;14177;21
6;4;1;20000;764,33;0,65;30;14411;28
8;4;1;20000;775,32;0,71;30;13358;28
9;4;1;20000;766,3;0,65;30;14196;20
10;4;1;20000;776,06;0,76;29;14034;21
11;4;1;20000;788,49;0,63;30;13642;26
13;4;1;20000;748,29;0,8;30;13382;19
15;4;1;20000;744,38;1,02;29;13575;20
14;4;1;20000;747,61;0,72;30;14512;23
12;4;1;20000;782,45;0,71;30;14298;29
16;4;1;20000;747,5;0,72;30;13359;28
17;4;1;20000;760,75;0,71;30;14466;21
18;4;1;20000;763,96;0,79;29;14121;26
20;4;1;20000;775,71;0,74;29;13369;22
21;4;1;20000;762,76;0,78;30;15111;19
22;4;1;20000;752,36;0,92;29;13962;13
19;4;1;20000;798,31;0,74;29;12516;11
23;4;1;20000;754,79;0,85;30;13644;28
24;4;1;20000;768,8;0,73;30;13666;21
25;4;1;20000;756,26;0,66;30;14490;22
27;4;1;20000;757,29;0,69;29;15148;21
26;4;1;20000;749,29;0,68;30;13883;19
28;4;1;20000;781,72;0,79;30;13423;29
29;4;1;20000;756,68;0,76;29;14369;23
30;4;1;20000;749,78;0,72;30;14254;28
;;;;762,2646667;0,743;29,73333333;14011,7;
;;;;13,33128127;0,08387799;0,449776445;558,1239604;
